# locus_id	locus_tag	location	classification	internal_stop	indel	ref_id	description	query_cov	ref_cov	identity
MGA_4756	LOCUS_47410	sequence14:10329..10970(-)	partial			WP_014206972.1	SOS response-associated peptidase family protein	72.3	82.6	40.9
MGA_4798	LOCUS_47830	sequence14:48319..48726(-)	partial			WP_011106977.1	hypothetical protein	29.6	65.6	57.5
MGA_4823	LOCUS_48080	sequence14:66038..67147(+)	partial			WP_011266899.1	type III secretion system YopJ family effector HopZ3	76.4	55.5	27.1
MGA_4824	LOCUS_48090	sequence14:67372..67659(-)	frameshift		67864,67407	WP_024698054.1	IS66 family transposase	65.3	12.2	88.7
MGA_4886	LOCUS_48690	sequence15:64718..65251(-)	internal_stop_codon	65333..65335(-)		WP_005763678.1	RHS repeat-associated core domain-containing protein	55.4	28.0	39.4
MGA_4887	LOCUS_48700	sequence15:65333..>67157(-)	internal_stop_codon	65333..65335(-)		WP_011103907.1	RHS repeat-associated core domain-containing protein	99.7	39.9	45.3
MGA_4936	LOCUS_49190	sequence16:59373..59612(-)	partial			WP_005769278.1	PP0621 family protein	100.0	73.1	84.8
MGA_4944	LOCUS_49270	sequence17:2914..4233(+)	partial			WP_011103324.1	type III secretion system effector HopD1	100.0	62.3	98.4
MGA_4945	LOCUS_49280	sequence17:4835..5317(-)	partial			WP_226992658.1	hypothetical protein	100.0	59.7	86.2
MGA_4947	LOCUS_49300	sequence17:6392..7003(+)	partial			WP_122320241.1	AAA family ATPase	90.6	60.1	82.1
MGA_4949	LOCUS_49320	sequence17:7555..9750(+)	partial			WP_011035486.1	type III secretion system effector XopN	76.2	68.2	25.4
MGA_4950	LOCUS_49330	sequence17:10431..11138(+)	partial			WP_162470596.1	DUF2971 domain-containing protein	84.7	69.4	29.0
MGA_4980	LOCUS_49620	sequence17:34488..34787(+)	frameshift		34781	WP_105530349.1	putative addiction module antidote protein	100.0	51.0	51.5
MGA_4981	LOCUS_49630	sequence17:34784..35074(+)	frameshift		34781	WP_105530349.1	putative addiction module antidote protein	97.9	48.5	66.0
MGA_4985	LOCUS_49670	sequence17:37542..37787(-)	frameshift		38026	WP_011103212.1	type III secretion system effector protein	100.0	37.2	90.1
MGA_4986	LOCUS_49680	sequence17:38012..38194(-)	frameshift		38026	WP_011103212.1	type III secretion system effector protein	96.7	26.6	81.0
MGA_4987	LOCUS_49690	sequence17:38714..39145(-)	partial			WP_226992674.1	XopAK family type III secretion system effector	51.0	28.1	80.8
MGA_4989	LOCUS_49710	sequence17:41376..41636(-)	partial			WP_011107022.1	L-2-hydroxyglutarate oxidase	98.8	21.4	100.0
MGA_4991	LOCUS_49730	sequence17:42665..42889(-)	partial			WP_011106973.1	relaxase/mobilization nuclease domain-containing protein	50.0	5.7	91.9
MGA_4995	LOCUS_49760	sequence18:317..763(+)	partial			WP_013530060.1	NAD(P)-dependent alcohol dehydrogenase	86.5	37.6	38.3
MGA_5001	LOCUS_49820	sequence18:7619..8413(-)	partial			WP_003114611.1	type VI secretion system-associated FHA domain protein TagH	76.9	51.6	37.6
MGA_5010	LOCUS_49910	sequence18:20425..20640(+)	partial			WP_003083317.1	Hcp family type VI secretion system effector	84.5	34.9	70.0
MGA_5016	LOCUS_49960	sequence19:1455..1859(+)	frameshift,internal_stop_codon	1434..1436(+)	1360	WP_011269352.1	RHS repeat-associated core domain-containing protein	98.5	10.9	77.8
MGA_5017	LOCUS_49970	sequence19:1852..2094(+)	partial			WP_183137593.1	RHS domain-containing protein	100.0	39.2	90.0
MGA_5032	LOCUS_50110	sequence20:1247..1723(-)	partial			WP_012259391.1	DUF488 domain-containing protein	90.5	49.5	35.1
MGA_5045	LOCUS_50240	sequence21:5130..7961(+)	partial			WP_011267395.1	hypothetical protein	97.8	54.2	32.0
MGA_5046	LOCUS_50250	sequence22:<1..990(+)	partial			WP_011269356.1	RHS repeat-associated core domain-containing protein	69.3	51.7	82.8
MGA_5050	LOCUS_50290	sequence22:4134..4364(-)	partial			WP_001367084.1	AlpA family phage regulatory protein	75.0	72.2	63.2
MGA_5052	LOCUS_50310	sequence22:5171..5380(-)	frameshift,internal_stop_codon	5170..5172(-),5116..5118(-)	5457,4956	WP_086016636.1	IS3 family transposase	100.0	13.7	50.7
MGA_5053	LOCUS_50320	sequence22:5657..6187(-)	frameshift		5457,5749	WP_086016636.1	IS3 family transposase	80.7	27.0	39.2
MGA_5057	LOCUS_50330	sequence24:1215..1994(-)	internal_stop_codon	1215..1217(-)		WP_011269356.1	RHS repeat-associated core domain-containing protein	91.1	52.3	95.3
MGA_5058	LOCUS_50340	sequence24:2777..>3640(-)	partial			WP_011269356.1	RHS repeat-associated core domain-containing protein	60.6	38.6	84.7
MGA_5062	LOCUS_50370	sequence26:1457..>2197(-)	partial			WP_011269352.1	RHS repeat-associated core domain-containing protein	48.8	8.5	91.7
MGA_5067	LOCUS_50400	sequence30:65..373(+)	frameshift		316	WP_177023650.1	IS3 family transposase	100.0	25.6	86.3
MGA_5068	LOCUS_50410	sequence30:382..1227(+)	frameshift		316	WP_177023650.1	IS3 family transposase	100.0	72.6	97.5
