# locus_id	locus_tag	location	classification	internal_stop	indel	ref_id	description	query_cov	ref_cov	identity
MGA_4604	LOCUS_45940	sequence11:114299..116926(+)	partial			WP_011964263.1	DEAD/DEAH box helicase family protein	59.3	59.3	29.5
MGA_4605	LOCUS_45950	sequence11:117402..117782(-)	partial			WP_091102695.1	AAA family ATPase	40.5	6.9	47.1
MGA_4608	LOCUS_45980	sequence11:120849..122249(-)	partial			WP_012584135.1	serine/threonine-protein kinase	44.0	29.7	30.6
MGA_4698	LOCUS_46870	sequence13:10246..10530(+)	frameshift		10500	WP_003425021.1	methyl-accepting chemotaxis protein	57.4	10.0	77.8
MGA_4699	LOCUS_46880	sequence13:10557..10952(+)	frameshift,internal_stop_codon	11069..11071(+)	10944,10500	WP_003425021.1	methyl-accepting chemotaxis protein	98.5	23.9	69.8
MGA_4719	LOCUS_47080	sequence13:30507..30761(-)	partial			WP_011266530.1	MaoC family dehydratase	53.6	39.7	53.3
MGA_4778	LOCUS_47670	sequence14:10329..10970(-)	partial			WP_014206972.1	SOS response-associated peptidase family protein	72.3	82.6	40.9
MGA_4820	LOCUS_48090	sequence14:48319..48726(-)	partial			WP_011106977.1	hypothetical protein	29.6	65.6	57.5
MGA_4845	LOCUS_48340	sequence14:66038..67147(+)	partial			WP_011266899.1	type III secretion system YopJ family effector HopZ3	76.4	55.5	27.1
MGA_4846	LOCUS_48350	sequence14:67372..67659(-)	frameshift		67864,67407	WP_024698054.1	IS66 family transposase	65.3	12.2	88.7
MGA_4908	LOCUS_48950	sequence15:64661..65194(-)	internal_stop_codon	65276..65278(-)		WP_005763678.1	RHS repeat-associated core domain-containing protein	55.4	28.0	39.4
MGA_4909	LOCUS_48960	sequence15:65276..>67100(-)	internal_stop_codon	65276..65278(-)		WP_011103907.1	RHS repeat-associated core domain-containing protein	99.7	39.9	45.3
MGA_4958	LOCUS_49450	sequence16:59373..59612(-)	partial			WP_005769278.1	PP0621 family protein	100.0	73.1	84.8
MGA_4981	LOCUS_49680	sequence17:15949..16248(+)	frameshift		16242	WP_105530349.1	putative addiction module antidote protein	100.0	51.0	51.5
MGA_4982	LOCUS_49690	sequence17:16245..16535(+)	frameshift		16242	WP_105530349.1	putative addiction module antidote protein	97.9	48.5	66.0
MGA_4986	LOCUS_49730	sequence17:19003..19248(-)	frameshift		19487	WP_011103212.1	type III secretion system effector protein	100.0	37.2	90.1
MGA_4987	LOCUS_49740	sequence17:19473..19655(-)	frameshift		19487	WP_011103212.1	type III secretion system effector protein	96.7	26.6	81.0
MGA_4988	LOCUS_49750	sequence17:20175..20606(-)	partial			WP_226992674.1	XopAK family type III secretion system effector	51.0	28.1	80.8
MGA_4990	LOCUS_49770	sequence17:22837..23097(-)	partial			WP_011107022.1	L-2-hydroxyglutarate oxidase	98.8	21.4	100.0
MGA_4992	LOCUS_49790	sequence17:24126..24350(-)	partial			WP_011106973.1	relaxase/mobilization nuclease domain-containing protein	50.0	5.7	91.9
MGA_5000	LOCUS_49870	sequence17:32514..33833(+)	partial			WP_011103324.1	type III secretion system effector HopD1	100.0	62.3	98.4
MGA_5001	LOCUS_49880	sequence17:34435..34917(-)	partial			WP_226992658.1	hypothetical protein	100.0	59.7	86.2
MGA_5003	LOCUS_49900	sequence17:35992..36603(+)	partial			WP_122320241.1	AAA family ATPase	90.6	60.1	82.1
MGA_5005	LOCUS_49920	sequence17:37155..39350(+)	partial			WP_011035486.1	type III secretion system effector XopN	76.2	68.2	25.4
MGA_5006	LOCUS_49930	sequence17:40031..40738(+)	partial			WP_162470596.1	DUF2971 domain-containing protein	84.7	69.4	29.0
MGA_5015	LOCUS_50020	sequence17:46945..47160(+)	partial			WP_011105580.1	transposase	81.7	52.7	72.4
MGA_5032	LOCUS_50160	sequence18:16530..16772(-)	partial			WP_183137593.1	RHS domain-containing protein	100.0	39.2	90.0
MGA_5033	LOCUS_50170	sequence18:16765..17169(-)	frameshift,internal_stop_codon	17188..17190(-)	17263	WP_011269352.1	RHS repeat-associated core domain-containing protein	98.5	10.9	77.8
MGA_5046	LOCUS_50300	sequence19:7552..8028(+)	partial			WP_012259391.1	DUF488 domain-containing protein	90.5	49.5	35.1
MGA_5048	LOCUS_50320	sequence20:133..2964(-)	partial			WP_011267395.1	hypothetical protein	97.8	54.2	32.0
MGA_5051	LOCUS_50350	sequence21:171..701(+)	frameshift		608,900	WP_086016636.1	IS3 family transposase	80.7	27.0	39.2
MGA_5052	LOCUS_50360	sequence21:978..1187(+)	frameshift,internal_stop_codon	1186..1188(+),1240..1242(+)	1401,900	WP_086016636.1	IS3 family transposase	100.0	13.7	50.7
MGA_5054	LOCUS_50380	sequence21:1994..2224(+)	partial			WP_001367084.1	AlpA family phage regulatory protein	75.0	72.2	63.2
MGA_5058	LOCUS_50420	sequence21:5368..>6357(-)	partial			WP_011269356.1	RHS repeat-associated core domain-containing protein	69.3	51.7	82.8
MGA_5063	LOCUS_50450	sequence23:1457..2758(-)	partial			WP_011269356.1	RHS repeat-associated core domain-containing protein	65.6	63.0	94.0
MGA_5065	LOCUS_50470	sequence23:3541..>4404(-)	partial			WP_011269356.1	RHS repeat-associated core domain-containing protein	60.6	38.6	84.7
MGA_5068	LOCUS_50490	sequence25:428..745(+)	internal_stop_codon	233..235(+)		WP_054993202.1	RHS repeat-associated core domain-containing protein	100.0	7.5	98.1
MGA_5071	LOCUS_50510	sequence26:65..373(+)	frameshift		316	WP_177023650.1	IS3 family transposase	100.0	25.6	86.3
MGA_5072	LOCUS_50520	sequence26:382..1227(+)	frameshift		316	WP_177023650.1	IS3 family transposase	100.0	72.6	97.5
